session_id,manoeuvre_id,requester_station_id,first_request_tx_wall_time,first_request_tx_sim_time,first_response_rx_wall_time,first_response_rx_sim_time,termination_rx_wall_time,termination_rx_sim_time,request_to_response_ms,request_to_termination_ms,completed
session_0_10_1773689806315,10,0,1773689806.3150036,38.3,,,,,,,False
session_0_10_1773689807317,10,0,1773689807.3170934,43.4,,,1773689808.1135726,47.5,,796.4792251586914,True
