session_id,manoeuvre_id,requester_station_id,first_request_tx_wall_time,first_request_tx_sim_time,first_response_rx_wall_time,first_response_rx_sim_time,termination_rx_wall_time,termination_rx_sim_time,request_to_response_ms,request_to_termination_ms,completed
session_0_10_1773690287637,10,0,1773690287.637723,38.3,,,,,,,False
session_0_10_1773690289501,10,0,1773690289.5012577,43.4,,,1773690290.7048323,46.6,,1203.5746574401855,True
