session_id,manoeuvre_id,requester_station_id,first_request_tx_wall_time,first_request_tx_sim_time,first_response_rx_wall_time,first_response_rx_sim_time,termination_rx_wall_time,termination_rx_sim_time,request_to_response_ms,request_to_termination_ms,completed
session_0_10_1774607391883,10,0,1774607391.8834357,38.3,1774607391.905667,38.3,,,22.231340408325195,,False
session_0_10_1774607392748,10,0,1774607392.7484045,43.4,1774607392.783867,43.5,1774607393.3189025,46.6,35.462379455566406,570.497989654541,True
